idx,city,country,iso3,capital,lat,lng,admin_name,population
7796,Wilhelmshaven,Germany,DEU,minor,53.5286,8.1056,Lower Saxony,76089.0
7815,Gladbeck,Germany,DEU,,51.5667,6.9667,North Rhine-Westphalia,75889.0
7854,Landshut,Germany,DEU,minor,48.5397,12.1508,Bavaria,75457.0
7887,Detmold,Germany,DEU,minor,51.9378,8.8833,North Rhine-Westphalia,75089.0
7940,Bayreuth,Germany,DEU,minor,49.9481,11.5783,Bavaria,74506.0
7953,Arnsberg,Germany,DEU,,51.3833,8.0833,North Rhine-Westphalia,74323.0
8008,Castrop-Rauxel,Germany,DEU,,51.55,7.3167,North Rhine-Westphalia,73795.0
8025,Brandenburg,Germany,DEU,minor,52.4167,12.5333,Brandenburg,73609.0
8139,Aschaffenburg,Germany,DEU,minor,49.9667,9.15,Bavaria,72444.0
8186,Bocholt,Germany,DEU,,51.8333,6.6167,North Rhine-Westphalia,71930.0
8195,Lüdenscheid,Germany,DEU,minor,51.2167,7.6333,North Rhine-Westphalia,71865.0
8387,Celle,Germany,DEU,minor,52.6256,10.0825,Lower Saxony,70138.0
8404,Kempten,Germany,DEU,minor,47.7333,10.3167,Bavaria,70056.0
8431,Fulda,Germany,DEU,minor,50.5508,9.6753,Hesse,69968.0
8546,Lippstadt,Germany,DEU,,51.6667,8.35,North Rhine-Westphalia,68890.0
8554,Aalen,Germany,DEU,minor,48.8333,10.1,Baden-Württemberg,68816.0
8661,Dinslaken,Germany,DEU,,51.5667,6.7333,North Rhine-Westphalia,67762.0
8691,Herford,Germany,DEU,minor,52.1333,8.6833,North Rhine-Westphalia,67459.0
8714,Rüsselsheim,Germany,DEU,,50.0,8.4333,Hesse,67277.0
8721,Kerpen,Germany,DEU,,50.8719,6.6961,North Rhine-Westphalia,67239.0
8856,Neuwied,Germany,DEU,minor,50.4286,7.4614,Rhineland-Palatinate,65986.0
8897,Weimar,Germany,DEU,minor,50.9811,11.3294,Thuringia,65620.0
8963,Dormagen,Germany,DEU,,51.1,6.8167,North Rhine-Westphalia,65147.0
8981,Sindelfingen,Germany,DEU,,48.7133,9.0028,Baden-Württemberg,64995.0
9010,Plauen,Germany,DEU,minor,50.4833,12.1167,Saxony,64763.0
9027,Grevenbroich,Germany,DEU,,51.0883,6.5875,North Rhine-Westphalia,64596.0
9055,Rosenheim,Germany,DEU,minor,47.85,12.1333,Bavaria,64403.0
9101,Neubrandenburg,Germany,DEU,minor,53.5569,13.2611,Mecklenburg-Western Pomerania,63989.0
9237,Friedrichshafen,Germany,DEU,,47.65,9.4833,Baden-Württemberg,62932.0
9288,Herten,Germany,DEU,,51.6,7.1333,North Rhine-Westphalia,62473.0
9296,Bergheim,Germany,DEU,minor,50.9667,6.65,North Rhine-Westphalia,62376.0
9303,Schwäbisch Gmünd,Germany,DEU,,48.8,9.8,Baden-Württemberg,62325.0
9401,Offenburg,Germany,DEU,minor,48.4667,7.9333,Baden-Württemberg,61670.0
9446,Garbsen,Germany,DEU,,52.4183,9.5981,Lower Saxony,61349.0
9447,Wesel,Germany,DEU,minor,51.6586,6.6178,North Rhine-Westphalia,61330.0
9485,Neu-Ulm,Germany,DEU,minor,48.3833,10.0,Baden-Württemberg,61043.0
9493,Hürth,Germany,DEU,,50.8775,6.8761,North Rhine-Westphalia,60969.0
9502,Unna,Germany,DEU,minor,51.5347,7.6889,North Rhine-Westphalia,60892.0
9662,Langenfeld,Germany,DEU,,51.1167,6.95,North Rhine-Westphalia,59783.0
9665,Euskirchen,Germany,DEU,minor,50.6597,6.7917,North Rhine-Westphalia,59772.0
9679,Greifswald,Germany,DEU,minor,54.0833,13.3833,Mecklenburg-Western Pomerania,59691.0
9727,Stralsund,Germany,DEU,minor,54.3092,13.0819,Mecklenburg-Western Pomerania,59363.0
9765,Göppingen,Germany,DEU,minor,48.7025,9.6528,Baden-Württemberg,59053.0
9892,Frankfurt (Oder),Germany,DEU,minor,52.3419,14.5517,Brandenburg,58230.0
9933,Hameln,Germany,DEU,minor,52.1,9.3667,Lower Saxony,57905.0
10006,Meerbusch,Germany,DEU,,51.2667,6.6667,North Rhine-Westphalia,57422.0
